timestamp,speaker,words,tags
,DR. RANALLO,"Good morning, everybody. Sorry about that. Good morning. I hope everybody's up. Okay. So we're going to start on time today. My name is Ryan Ranallo, I'm a program officer here, at NIAID, and I'm going to be your moderator for the entire day today, something the organizing committee didn't tell me before they signed me up for this. Nevertheless, hopefully we'll get through it all day today.",RANALLO
,,"So one thing that I wanted to just note is how in two years, how things have changed significantly since the last time we've held a phage therapy meeting, and so, with that, I think we have a couple of large buckets of topics today, phage engineering being one of them, and essentially looking at phage for different uses, including, you know, transmission and decolonization.",
,,"So, with that -- oh, the only other thing I would say is if you have any questions about whether or not your slides have been loaded for speakers, please check in the back. Marcus has been great all day yesterday, and certainly today as well. So for the first talk, it's a tag team talk of Col. Zapor and Lt. Col. Tyner. Col. Zapor is the deputy commander of operations at the Walter Reed Army Institute of Research, and Lt. Col. Tyner, who I first met actually when I was a post-doc at NCI and -- in Building 37, is the director of bacterial diseases branch, which just actually happens to be my old department where I spent 10 years at Walter Reed working on enteric vaccines. So, without further ado, I'm going to introduce Col. Zapor and Lt. Col. Tyner for our first talk.",
,DR. ZAPOR,"Okay. Good morning, everybody. Thanks to the organizers for inviting me to speak at this conference. Unfortunately, I'm only here for the morning session because of conflicting obligations, as well as secondary to car problems, but -- so I'll be here until lunch and then depart after that.",ZAPOR
,,"As you heard, I'm splitting my 30-minute block with a colleague, Lt. Col. Tyner, so I'll be cognizant of the fact that I have 15 minutes to speak to ensure that he has 15 minutes as well.",
,,"So the purpose of this talk, I was asked to speak about potential therapeutic indications for bacteriophages and first thought we would kind of address some of the limitations of the current -- antibiotics and the current problems. So antibiotics of course have been the mainstay of therapy in the -- for the treatment of infections for decades, but there have been some unintended consequences. Everybody of course is familiar with the issue of the emergence of multidrug-resistant organisms, in some cases extremely drug-resistant organisms, or even pan drug resistance.",
,,"Moreover, antibiotics, as effective as they are, are not 100 percent specific. In the parlance of my profession, we unfortunately see considerable friendly fire, especially with the broad-spectrum antibiotics such as the carbapenems, and so oftentimes the antibiotics are effective in eradicating the intended target, but have the unintended consequence of killing benign, or even beneficial, bacteria as well.",
,,"This is evidenced, for example, by the emergence of C. diff colitis in patients who are on broad spectrum antibiotics.",
,,"Other limitations with antibiotic use of course include the emergence of drug resistance. I've already spoken to that. Some types of infections are less amenable to treatment than other types. So infections which involve abscesses or other sequestra, antibiotics generally don't penetrate abscess fluid very well, some less well than others. Rifampin works fairly well, but there are many other antibiotics that are inactivated in abscess fluid. Aminoglycosides come to mind.",
,,"Additionally, the presence of a foreign body can make infections difficult to treat. Foreign body -- we've seen a considerable number, a very large number, of war wounded coming back from Iraq and Afghanistan status post blast injuries with retained foreign bodies. Some of these can be removed surgically, some cannot. Some are intentionally left in place.",
